    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    dk04       .2284362              .                          .1437583                  .                .1626813                     .                   .2648647                         .                       .2560715                       .                     .1437583                           .                         .1626813                    .    .4522499    .3313069    .2708351    .2291761                 .               .2678957                     .                   .2586274   203321.5      37729.47    1273.913          0               204477.6                 0                   188540.7                     0       19095.57    231115.5    271803.2    299698.8      201215     .9969199  
    dk07       .2391267              .                          .1341649                  .                .1193559                     .                   .2918988                         .                       .2979064                       .                     .1341649                           .                         .1193559                    .    .4463652    .3300875    .2829599     .240498                 .               .2919724                     .                   .2988111   226296.3      31583.44    3624.343          0               245054.3                 0                   226442.7                     0       2380.596    269554.7    316187.6    340617.8    225488.9     .9961373  
    dk10       .2518379              .                          .1405376                  .                .1259013                     .                   .2945305                         .                       .2987868                       .                     .1405376                           .                         .1259013                    .    .4771176    .3476548    .2935441     .254573                 .               .2945755                     .                     .29946     249992      26266.26    4737.735          0                 247701                 0                   226566.5                     0       1979.814    278967.2    335406.9    364465.1    247857.2     .9966494  
    dk13       .2505052              .                          .1415016                  .                .1255184                     .                   .2920876                         .                       .2968757                       .                     .1415016                           .                         .1255184                    .    .4847886    .3476737    .2904432    .2537107                 .               .2921331                     .                   .2975957   258096.8      26010.28    2591.489          0               253810.7                 0                     231661                     0        1960.52    287665.7    347787.9    378921.3    255966.8     .9985921  
    do07       .5122895       .3606753                          .3192264           .3511743                       .                     .                          .                         .                              .                       .                            .                           .                                .             .5122895           .           .           .    .5126703                 .                      .                     .                          .   115753.2             0    12996.44   105892.8                      0                 0                          0                     0        11439.3           0           0           0    115608.9     .9928774  
    eg12        .512148              .                          .2676165                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   11708.92             0    478.1881          0                      0                 0                          0                     0              0           0           0           0           0     .9834682  
    ee00       .3602241       .2731975                          .2230126           .2877059                .2237554               .386244                   .4012486                  .3818734                       .4009649                .2731975                     .2230126                    .2877059                         .2237554             .3602241           .           .           .    .3415066          .3943915                .406218              .3904747                   .4056029    46053.3             0    255.5905   45220.17               47637.77          47637.77                   46861.22              46861.22       5990.598           0           0           0    39275.21     .9940083  
    ee04       .3467705              .                          .1968935                  .                .1980709                     .                   .3987621                         .                       .3982487                       .                     .1968935                           .                         .1980709                    .           .           .           .    .3477345                 .               .4010727                     .                   .4004519   66962.55      8601.271    785.5428          0               76998.99                 0                   75827.58                     0       8601.266           0           0           0    66830.46     .9897961  
    ee07        .312315              .                          .1794513                  .                .1823155                     .                   .3610167                         .                       .3597923                       .                     .1794513                           .                         .1823155                    .           .           .           .           .                 .               .3626859                     .                    .361439   112682.1             0           0          0               123966.2                 0                   120879.8                     0       10968.31           0           0           0           0     .9989985  
    ee10       .3181769              .                          .1725392                  .                .1747053                     .                   .3627057                         .                       .3619119                       .                     .1725392                           .                         .1747053                    .    .4829049    .3830864    .3655624    .3181769                 .               .3635995                     .                   .3627687   115164.3             0    1215.237          0               109661.3                 0                   107817.3                     0       13959.65    144486.6    164612.7    174378.9    115164.3     .9832776  
    ee13       .3510275              .                          .1851726                  .                .1882162                     .                   .4052057                         .                       .4040177                       .                     .1851726                           .                         .1882162                    .    .5271606    .4220746    .4101454    .3516743                 .               .4064488                     .                   .4051898   9752.055             0    78.11605          0               9958.115                 0                   9752.031                     0       1089.327    11339.16    13004.91    13619.66     9727.44      .954864  
    fi87       .2068559              .                          .1178586                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2074266                 .                      .                     .                          .   64711.18      2813.512    140.4447          0                      0                 0                          0                     0       212.0679           0           0           0    64378.32     .9998171  
    fi91       .2087856              .                          .1318443                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2101321                 .                      .                     .                          .   88886.86      14064.84    224.2915          0                      0                 0                          0                     0       8704.917           0           0           0       88207     .9994943  
    fi95       .2171414              .                          .1226907                  .                .1302722                     .                   .2464539                         .                       .2436409                       .                     .1226907                           .                         .1302722                    .           .           .           .     .216832                 .               .2464909                     .                   .2462065   87057.11       6482.37    951.6192          0               76419.94                 0                   71156.57                     0       656.6501           0           0           0    87605.46     .9997848  
