    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    lu91       .2379274                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   836492.6                          0                     0     .9511679     .1777758             .             .             .             .                   .                        .                       .                            .  
    lu94       .2357117                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   975731.3                          0                     0     .9917808     .1824974             .             .             .             .                   .                        .                       .                            .  
    lu97       .2609836                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .    1046103                          0                     0     .9996964     .2224881             .             .             .             .                   .                        .                       .                            .  
    lu00       .2625442                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .    1190131                          0                     0     .9674895     .2185368             .             .             .             .                   .                        .                       .                            .  
    lu07       .2766858                  .                       .                         .                              .                           .                                .                    .    .3420755    .3137669                     .                          .   39389.38                          0                     0     .9868923     .2536866      2.978441      .4608597      .3203613      .2536866                   .                        .                       .                            .  
    lu10        .270532                  .                       .                         .                              .                           .                                .                    .    .3427799    .3017004                     .                          .   41125.54                          0                     0     .9500806     .2506277      2.705752      .5210435      .2958386      .2506277                   .                        .                       .                            .  
    lu13       .2810996                  .                       .                         .                              .                           .                                .                    .    .3600395    .3195973                     .                          .   43453.23                          0                     0     .9193847     .2885168      3.714664      .6203729      .3597467      .2885168                   .                        .                       .                            .  
    mx08       .4863947           .3164176                .3338797                  .5000221                       .4986221                    .3164176                         .3338797             .4863947           .           .              .5005431                    .499555   63809.63                   54511.17              54511.17     .9823252     .8646369             .             .             .             .             .966787                 .9836226                .9674569                     .9898466  
    mx10       .4616782           .3365583                 .318289                  .4719747                       .4734781                    .3365583                          .318289             .4616782           .           .               .472624                   .4744502   61312.04                   54257.92              54257.92     .9783678     .8001971             .             .             .             .            .8788095                 .9039834                .8846795                     .9024903  
    mx12       .4687628            .351123                .3247117                  .4779401                       .4800005                     .351123                         .3247117             .4687628           .           .              .4785883                    .480835   70563.25                    64843.6               64843.6     .9745929     .7724201             .             .             .             .            .8334994                 .8785945                .8391545                     .8781347  
    nl04       .2632473                  .                 .168455                         .                       .2826662                           .                          .168455                    .    .3348355     .298001                     .                   .2918191   21030.38                   18149.19                     0     .9910658     .2683615      3.751884      .8726607      .3423404       .268835                   .                 .3631963                       .                     .3320017  
    nl07       .2743149                  .                .1462803                         .                       .3016469                           .                         .1462803                    .    .3583108    .3262005                     .                   .3119015   24753.71                    21526.5                     0     .9937164      .245577      3.601937      .7946317      .3597441       .245671                   .                 .3489418                       .                     .3387504  
    nl10       .2544043                  .                .1377342                         .                       .2780422                           .                         .1377342                    .     .344206    .3067413                     .                   .2870096   25089.51                   21274.82                     0     .9909812     .2210557      3.866539      1.020876      .3319976      .2211697                   .                 .3276235                       .                     .3369444  
    nl13       .2613804                  .                .1421751                         .                       .2852553                           .                         .1421751                    .    .3561285    .3182774                     .                   .2945741   25810.58                   21836.94                     0     .9919506     .2493643      4.430158      1.175146      .3728221      .2494182                   .                 .3509634                       .                     .3458474  
    pa10       .4795886                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   5376.813                          0                     0     .9945207      .895507             .             .             .      .8955098                   .                        .                       .                            .  
    pa13       .4715555                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   7048.018                          0                     0     .9869668     .8434414             .             .             .      .8434433                   .                        .                       .                            .  
    py10       .5115551                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   2.02e+07                          0                     0     .9775671     .9402513             .             .             .             .                   .                        .                       .                            .  
    py13       .4794886                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   2.70e+07                          0                     0     .9728242     .8586261             .             .             .             .                   .                        .                       .                            .  
    pe04       .5357115             .36994                       .                         .                              .                           .                                .             .5357115           .           .                     .                          .   7189.552                          0                     0     .9174117     1.558696             .             .             .      1.558716                   .                        .                       .                            .  
    pe07        .508691           .3574226                       .                         .                              .                           .                                .              .508691           .           .                     .                          .   9315.154                          0                     0     .9742088     1.264505             .             .             .      1.264488                   .                        .                       .                            .  
    pe10       .4769373           .3159164                       .                         .                              .                           .                                .             .4769373           .           .                     .                          .   11640.47                          0                     0     .9634323     1.176504             .             .             .      1.176494                   .                        .                       .                            .  
    pe13       .4542283           .2938505                       .                         .                              .                           .                                .             .4542283           .           .                     .                          .   13856.83                          0                     0     .9723448     1.057263             .             .             .      1.057262                   .                        .                       .                            .  
