    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    ca13       .3208294              .                          .1791306                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4772426    .4003378    .3576802    .3208265                 .                      .                     .                          .   46155.26             .    180.6037          .                      .                 .                          .                     .              .     49861.7    56765.16    60237.28    45369.05     .9993991  
    cn02       .4152188       .3518681                           .229858           .3492178                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4152188    .4220821    .4135566    .4117671    .4078069                 .                      .                     .                          .   9213.396      582.0296    322.9568   6148.756                      .                 .                          .                     .       149.3766    7876.494    8951.095    9054.112    8716.945     .9988706  
    co07       .5514781              .                          .3070452                  .                       .                     .                   .5843484                         .                              .                       .                     .3070452                           .                                .                    .    .5802673     .566067    .5649862    .5515708                 .               .5843563                     .                          .    6536154       1462298    361595.6          .                6091888                 .                          .                     .       439059.2     6321061     7327406     7453884     6529464     .8888903  
    cz92       .2057225              .                          .1153127                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4022901           .           .           .                 .                      .                     .                          .   55501.32             .           .          .                      .                 .                          .                     .              .    47861.52           .           .           .     .9999313  
    cz96       .2563807              .                          .1443001                  .                       .                     .                   .2808547                         .                              .                       .                     .1443001                           .                                .                    .    .4337572           .           .           .                 .               .2808684                     .                          .   107160.5             .           .          .                98226.8                 .                          .                     .              .    107828.1           .           .           .     .9996461  
    cz02        .255491              .                          .1435932                  .                       .                     .                    .276767                         .                              .                       .                     .1435932                           .                                .                    .    .4752629    .3629814    .3307831    .2556057                 .               .2767799                     .                          .   155257.8             .    2450.519          .                 142122                 .                          .                     .              .    193667.5    223957.8    235020.5    155185.3     .9999153  
    cz04        .266581              .                          .1480643                  .                .1521812                     .                   .2930283                         .                       .2918573                       .                     .1480643                           .                         .1521812                    .    .4788663    .3683709     .339484     .266581                 .               .2930446                     .                   .2918854   174319.9      35124.54    2680.207          .               162652.7                 .                   156311.5                     .       30842.45    221430.9    256082.8    267903.7    174319.9            1  
    cz07       .2516939              .                          .1408774                  .                 .144382                     .                   .2767918                         .                       .2758024                       .                     .1408774                           .                          .144382                    .    .4579207    .3475452     .324702    .2516939                 .                 .27681                     .                   .2758378   218077.5      43028.82    4030.676          .               202742.2                 .                     195562                     .       38881.63    276979.8    319632.1    333808.8    218077.5     .9997165  
    cz10         .25633              .                          .1437488                  .                .1480007                     .                   .2812583                         .                       .2800954                       .                     .1437488                           .                         .1480007                    .     .459274    .3384139    .3196689      .25633                 .               .2812752                     .                   .2801287   245798.6       45813.7    5701.814          .               223130.8                 .                   214490.4                     .       44104.71    293532.4    345329.9    358760.3    245798.6     .9998538  
    cz13       .2587313              .                          .1440801                  .                .1483559                     .                   .2878505                         .                       .2865356                       .                     .1440801                           .                         .1483559                    .    .4701174     .343632    .3234977    .2587313                 .               .2878723                     .                   .2865735   257817.8      49681.03    6427.753          .               241105.4                 .                   232838.3                     .       46675.68    307207.5    362850.9    375197.5    257817.8            1  
    dk87       .2520936              .                          .1412763                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4167468    .3294921       .2814    .2563185                 .                      .                     .                          .   117170.9      4532.239    194.5412          .                      .                 .                          .                     .       341.6166    134844.3    150514.6      169805    116404.1     .9932477  
    dk92       .2370991              .                          .1347924                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4504906    .3501751    .2825646    .2395364                 .                      .                     .                          .   133124.5      4313.186    172.8314          .                      .                 .                          .                     .       325.1056    152628.3    175447.2    197564.4      131778     .9946839  
    dk95       .2080989              .                           .111523                  .                .1221728                     .                   .2489004                         .                        .249521                       .                      .111523                           .                         .1221728                    .    .5755242    .3514594    .2571053    .2118948                 .               .2489605                     .                   .2527147     150255       28658.6    701.9366          .               146460.5                 .                   135503.5                     .        27801.3    169886.5    199335.3    225157.2    148415.3     .9985968  
    dk00       .2201124              .                           .116782                  .                .1272684                     .                   .2751677                         .                       .2781375                       .                      .116782                           .                         .1272684                    .    .5744027    .3536953    .2730785    .2232226                 .               .2752526                     .                   .2802367   178621.7      32898.39    918.8016          .               189018.3                 .                   175283.2                     .       31505.97    211193.6      245448    268540.2    175867.1     .9983926  
    dk04       .2284362              .                          .1296064                  .                .1473331                     .                   .2709529                         .                       .2625221                       .                     .1296064                           .                         .1473331                    .    .4522499    .3313069    .2708351    .2291761                 .               .2710166                     .                   .2631663   203321.5      37729.47    1273.913          .               204477.6                 .                   188540.7                     .       19095.57    231115.5    271803.2    299698.8      201215     .9969199  
    dk07       .2391266              .                          .1341649                  .                .1193559                     .                   .2918988                         .                       .2979064                       .                     .1341649                           .                         .1193559                    .    .4463652    .3300875    .2829599     .240498                 .               .2919724                     .                   .2988111   226296.3      31583.44    3624.343          .               245054.3                 .                   226442.7                     .       2380.596    269554.7    316187.6    340617.8    225488.9     .9961373  
    dk10       .2518379              .                          .1405376                  .                .1259013                     .                   .2945305                         .                       .2987868                       .                     .1405376                           .                         .1259013                    .    .4771176    .3476548    .2935441     .254573                 .               .2945755                     .                     .29946     249992      26266.26    4737.735          .                 247701                 .                   226566.5                     .       1979.814    278967.2    335406.9    364465.1    247857.2     .9966494  
