ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
il05,.99762817,58767.357,36268.235,6792.2177,19002.475,.,.,67650.919,77371.169,81788.81,65791.368,.,.,.41790914,.23080816,.23860853,.,.,.,.,.19919452,.,.,.,.,.,.,.,.53646064,.4664321,.42964546,.38417395,.,.,.41790914
il07,.99759403,62841.608,40153.63,7326.3872,20451.812,.,.,75816.072,85715.788,90152.87,72761.702,.,.,.4110012,.22689678,.23176549,.,.,.,.,.19662967,.,.,.,.,.,.,.,.52377487,.45961093,.42469082,.37595172,.,.,.4110012
il10,.99885262,71283.412,46891.839,8485.3222,26017.116,.,.,90679.156,101529.54,106632.29,85271.334,.,.,.42531796,.22691359,.23637814,.,.,.,.,.20066909,.,.,.,.,.,.,.,.53272023,.47249887,.43982618,.39284501,.,.,.42531796
il12,.99660984,75254.659,51764.423,9635.2942,28108.217,.,.,95130.187,106906.49,112042.92,93424.395,.,.,.41348529,.21284465,.22122597,.,.,.,.,.19720051,.,.,.,.,.,.,.,.50688444,.44671742,.41808489,.37788693,.,.,.41348529
it86,.99965044,.,6889524.5,.,1403019,.,.,9959362.3,12152225,12485356,.,.,.,.32494292,.,.,.,.,.,.,.15676926,.,.,.,.,.,.,.,.42973641,.31298869,.30929524,.,.,.,.
it87,.99755264,.,7908637.5,388408.58,2281622.7,.,.,11611486,14071653,14221540,.,.,.,.34387408,.,.,.,.,.,.,.17318107,.,.,.,.,.,.,.,.45564591,.3405688,.33381015,.,.,.,.
it89,.99913001,.,9889671.7,438738.27,2995720.6,.,.,14002114,17154694,17306100,.,.,.,.32568147,.,.,.,.,.,.,.15382653,.,.,.,.,.,.,.,.43071763,.30963814,.30480221,.,.,.,.
it91,.99820088,.,11207186,448139.68,3524339.1,.,.,15546615,19393874,19610805,.,.,.,.31346622,.,.,.,.,.,.,.14714192,.,.,.,.,.,.,.,.41852021,.29884291,.29293193,.,.,.,.
it93,.99698193,.,11780765,491813.6,4217836,.,.,15996515,20379477,20702118,.,.,.,.35344274,.,.,.,.,.,.,.17407667,.,.,.,.,.,.,.,.4762182,.35168086,.34195119,.,.,.,.
it95,.99552993,13680969,12555415,.,.,.,10048902,16227005,21505526,21836870,.,.,10048902,.3509259,.15466799,.,.15466799,.,.38156393,.,.16999356,.,.16999356,.,.37917144,.,.38257611,.,.47680881,.34708597,.3384535,.,.37928432,.,.3509259
it98,.99049411,14009732,14816587,.,.,.,12742018,18862413,24943427,25213771,.,.,12742018,.36116673,.15318516,.,.15318516,.,.39623184,.,.17201171,.,.17201171,.,.39305774,.,.39840844,.,.48334336,.35087809,.34401791,.,.39320067,.,.36116673
