   ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ie04        1          .   21054.14    3867.596                   .9929076                19522.79  
    ie04       30          .   25373.69    1937.907                   1.147278                23375.08  
    ie04       50          .   29056.01     1768.09                   1.229904                25158.42  
    ie04       65          .    17644.3    1985.349                   .9035381                18260.82  
    il01        1   51519.76   54565.36    7494.281                   1.049684                       .  
    il01       30   53922.14   60410.87    5365.682                   1.148527                       .  
    il01       50   61638.83   76510.94    4896.413                   1.296271                       .  
    il01       65   46249.33   57227.14    5081.491                    1.03237                       .  
    il05        1   50384.16   50017.77     8388.53                   1.007311                       .  
    il05       30   59286.36   65818.15    6754.063                   1.174812                       .  
    il05       50   65854.82   80495.64    6197.391                   1.298057                       .  
    il05       65   48880.25   60325.45    6809.346                    1.03703                       .  
    il07        1   56155.64   57857.98     9976.02                   1.032757                       .  
    il07       30   62941.13   72094.59      7269.5                   1.177613                       .  
    il07       50   69210.78   87872.57    6735.684                   1.296009                       .  
    il07       65   54782.34   68684.97    6784.393                    1.05931                       .  
    il10        1   60602.85   65200.74    11349.98                   1.005369                       .  
    il10       30   72200.48   82396.66    8466.712                   1.158051                       .  
    il10       50   77230.13     105339    7936.656                   1.293736                       .  
    il10       65   61111.49   81023.56    7679.736                   1.047871                       .  
    il12        1   67560.78    72177.8    13966.63                   .9894762                       .  
    il12       30   75343.01   91210.81    9808.394                   1.151877                       .  
    il12       50   80379.92   110746.6     8328.84                   1.262879                       .  
    il12       65   69005.47   94436.11    8692.239                   1.083164                       .  
    il92        1   30689.89   22983.13    4606.632                   1.010227                       .  
    il92       30   37977.19   28800.63    4473.462                   1.209891                       .  
    il92       50   39180.92   31997.14    4389.333                   1.239321                       .  
    il92       65   27259.69   26873.75    4812.194                   1.023017                       .  
    il97        1   55896.98   41550.58    8339.589                   1.067622                       .  
    il97       30   63907.53   48188.89    6933.275                   1.177313                       .  
    il97       50   71023.83   57485.79    6843.693                   1.249773                       .  
    il97       65   47055.14   43648.41    7219.834                   1.011045                       .  
    in04        1   16348.64    16235.4    1702.565                   1.162168                       .  
    in04       30   19379.52   20442.18     1754.34                   1.305205                       .  
    in04       50   22416.77   26183.18    1756.332                   1.403199                       .  
    in04       65   22325.86      29352    1727.386                   1.281976                       .  
    in11        1   34793.37   37367.23    3194.733                   1.053956                       .  
    in11       30   45674.56   48273.42    3932.378                   1.260167                       .  
    in11       50   53324.54   68284.43    4128.347                   1.421815                       .  
    in11       65   51582.24   66765.73    4147.034                   1.245512                       .  
    is04        1          .    1873321    259707.3                    .974574                 2245838  
    is04       30          .    2509252    312150.8                   1.202394                 2773626  
    is04       50          .    2846125    373926.5                   1.322969                 3041468  
    is04       65          .    2256649    293325.1                   .9894392                 2270075  
    is07        1          .    2676028    382512.3                   .9270806                 2938693  
    is07       30          .    3756634    480875.6                   1.184869                 3758332  
    is07       50          .    4432055    476077.6                   1.300024                 4139653  
    is07       65          .    3400126    385496.4                   .9868788                 3135001  
    is10        1          .    2801082    601605.5                   .9225625                 3643289  
    is10       30          .    3874791      455997                    1.13121                 4627206  
    is10       50          .    4651289    496440.9                   1.268677                 5198014  
    is10       65          .    3938293      452475                   1.032045                 4200871  
    it14        1   8903.502    13399.6    2191.378                   .9428579                       .  
    it14       30   9364.889   15502.01    1934.265                   1.120307                       .  
    it14       50   10679.22   18187.47    1995.265                   1.221352                       .  
    it14       65   10473.62   17395.51     2110.37                    1.08758                       .  
    it87        1          .   1.20e+07    773646.6                   1.115592                       .  
    it87       30          .   1.41e+07    461595.7                   1.219818                       .  
    it87       50          .   1.57e+07    318268.1                   1.280622                       .  
    it87       65          .   1.25e+07    241493.4                   .9923254                       .  
    it89        1          .   1.69e+07    869274.7                   1.175103                       .  
    it89       30          .   1.75e+07    508555.6                   1.248989                       .  
    it89       50          .   1.87e+07    358714.1                   1.265979                       .  
    it89       65          .   1.50e+07    286817.3                   .9851694                       .  
    it91        1          .   1.81e+07    733390.2                   1.158457                       .  
    it91       30          .   1.94e+07      558723                   1.216479                       .  
    it91       50          .   2.14e+07    351287.5                   1.260222                       .  
    it91       65          .   1.78e+07      310782                   .9745879                       .  
    it93        1          .   1.89e+07    916306.7                   1.165178                       .  
    it93       30          .   2.00e+07    563381.8                   1.228781                       .  
    it93       50          .   2.35e+07    382071.4                   1.307837                       .  
