    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    ca10       .3172654              .                          .1800374                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4834074    .4067698    .3588648    .3175303                 .                      .                     .                          .   42085.06             0    169.6618          0                      0                 0                          0                     0              0    45014.21    50797.02    54424.31    41259.66     .9990181     .4061388      2.059263       .884204      .5376476      .4187974                   .                        .                       .                            .  
    ca13       .3208294              .                          .1889029                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4772426    .4003378    .3576802    .3208265                 .                      .                     .                          .   46155.26             0    180.6037          0                      0                 0                          0                     0              0     49861.7    56765.16    60237.28    45369.05     .9993991       .45987      2.286431      .9498194      .6047087      .4788743                   .                        .                       .                            .  
    cn02       .4152188       .3518681                           .250148           .3492178                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4152188           .           .           .           .                 .                      .                     .                          .   9213.396      582.0296    320.3727   6148.756                      0                 0                          0                     0       149.3766           0           0           0           0     .9988706     .5936992             .             .             .             .                   .                        .                       .                            .  
    co07       .5514781              .                          .3222344                  .                       .                     .                   .5833079                         .                              .                       .                     .3222344                           .                                .                    .           .           .           .    .5515708                 .               .5864083                     .                          .    6536154             0    361595.6          0                6265766                 0                          0                     0              0           0           0           0     6529464     .8888903     1.252235             .             .             .      1.251583                   .                 1.317307                       .                            .  
    cz92       .2057225              .                           .125171                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2071944                 .                      .                     .                          .   55501.32             0           0          0                      0                 0                          0                     0              0           0           0           0    54638.35     .9999313     .1344307             .             .             .      .1398505                   .                        .                       .                            .  
    cz96       .2563807              .                          .1563486                  .                       .                     .                   .2779947                         .                              .                       .                     .1563486                           .                                .                    .           .           .           .    .2563807                 .               .2912514                     .                          .   107160.5             0           0          0                97379.8                 0                          0                     0              0           0           0           0    107160.5     .9996461         .212             .             .             .          .212                   .                  .327461                       .                            .  
    cz02        .255491              .                          .1659966                  .                       .                     .                   .2724439                         .                              .                       .                     .1659966                           .                                .                    .    .4752629    .3629814    .3307831    .2556057                 .               .2830038                     .                          .   155257.8             0    2450.519          0                 141677                 0                          0                     0              0    193667.5    223957.8    235020.5    155185.3     .9999153     .2026164      2.204665       .698769       .359644      .2039974                   .                 .2808759                       .                            .  
    cz04        .266581              .                          .1694621                  .                .1742686                     .                   .2881383                         .                       .2869037                       .                     .1694621                           .                         .1742686                    .    .4788663    .3683709     .339484     .266581                 .               .3012833                     .                   .3008788   174319.9             0    2680.207          0               161946.2                 0                     155850                     0       30842.45    221430.9    256082.8    267903.7    174319.9            1     .2306195      2.322639      .6564311      .3905588      .2306195                   .                 .3440852                       .                     .3556894  
    cz07       .2516939              .                          .1625192                  .                .1666502                     .                   .2716844                         .                       .2706372                       .                     .1625192                           .                         .1666502                    .    .4579208    .3475452     .324702    .2516939                 .               .2867757                     .                   .2866473   218077.5      43028.82    4030.676          0               201053.3                 0                     194202                     0       38881.63    276979.8    319632.1    333808.8    218077.5     .9997165     .2182502      2.001482      .5472775      .3760226      .2182502                   .                 .3329156                       .                     .3293917  
    cz10         .25633              .                           .161777                  .                 .166556                     .                   .2771344                         .                       .2759379                       .                      .161777                           .                          .166556                    .     .459274    .3384139    .3196689      .25633                 .               .2914983                     .                   .2912519   245798.6       45813.7    5701.814          0               221978.3                 0                   213713.6                     0       44104.71    293532.4    345329.9    358760.3    245798.6     .9998538     .2224106      2.276162      .5453283      .3565895      .2224106                   .                 .3569669                       .                     .3492953  
    cz13       .2587139              .                          .1573437                  .                       .                     .                   .2841682                         .                              .                       .                     .1573437                           .                                .                    .    .4701374    .3435986    .3234764    .2587139                 .               .3016509                     .                          .   257817.8             0    6427.753          0               238901.1                 0                          0                     0              0    307207.5    362850.9    375197.5    257817.8            1     .2154142      2.356415      .6816555      .3510765      .2154142                   .                 .3743936                       .                            .  
    dk87       .2520936              .                           .158408                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2563185                 .                      .                     .                          .   117170.9      4532.239    194.5412          0                      0                 0                          0                     0       341.6166           0           0           0    116404.1     .9932477     .3701942             .             .             .      .3945804                   .                        .                       .                            .  
    dk92       .2370991              .                          .1459125                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2395364                 .                      .                     .                          .   133124.5      4313.186    172.8314          0                      0                 0                          0                     0       325.1056           0           0           0      131778     .9946839     .3602641             .             .             .      .3723812                   .                        .                       .                            .  
    dk95       .2207273              .                          .1361994                  .                       .                     .                   .2521444                         .                              .                       .                     .1361994                           .                                .                    .           .           .           .    .2232863                 .               .2931006                     .                          .     150255             0    701.9366          0               144587.6                 0                          0                     0              0           0           0           0    148415.3     .9985968      .190077             .             .             .      .2037606                   .                 .4193301                       .                            .  
    dk00       .2247808              .                          .1380257                  .                       .                     .                   .2646652                         .                              .                       .                     .1380257                           .                                .                    .    .4417824    .3274101     .272119    .2270365                 .                .321988                     .                          .   178621.7             0    918.8016          0               186724.4                 0                          0                     0              0    211193.6      245448    268540.2    175867.1     .9983926     .1922816      6.855991      1.416963      .2889997      .2082715                   .                 .5136175                       .                            .  
    dk04       .2284362              .                          .1454293                  .                .1624227                     .                   .2635266                         .                       .2560325                       .                     .1454293                           .                         .1624227                    .    .4522499    .3313069    .2708351    .2291761                 .               .3127233                     .                   .3129653   203321.5      37729.47    1273.913          0               201985.3                 0                   187832.9                     0       19095.57    231115.5    271803.2    299698.8      201215     .9969199     .2044176      6.190109      1.172208      .2847647      .2123457                   .                 .4804555                       .                     .4834031  
    dk07       .2391267              .                          .1475884                  .                .1336119                     .                   .2843623                         .                       .2899178                       .                     .1475884                           .                         .1336119                    .    .4463652    .3300875    .2829599     .240498                 .               .3481686                     .                   .3597777   226296.3      31583.44    3624.343          0               242247.8                 0                     223514                     0       2380.596    269554.7    316187.6    340617.8    225488.9     .9961373     .2593662      6.870919      1.285567      .3412483      .2645574                   .                 .5719398                       .                     .6017894  
