    ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    es00       30          .    2218358    22322.88                   1.168355                 2066341  
    es00       50          .    2538853    11522.66                   1.248472                 2224790  
    es00       65          .    1804000       14503                   1.032569                 1833291  
    es04        1          .   13529.95    2045.783                   1.163434                13526.09  
    es04       30          .    14152.4    1626.033                   1.197245                13624.36  
    es04       50          .   15855.77    1205.939                   1.195549                13368.93  
    es04       65          .   11370.53     1046.86                   .9225354                   10127  
    es07        1          .   15988.44    2364.116                   1.155314                16468.88  
    es07       30          .   16827.39    1538.658                     1.1678                16842.94  
    es07       50          .    18975.4    1385.137                   1.179706                17056.42  
    es07       65          .   14197.17    1326.983                   .9350636                13463.66  
    es10        1          .   14254.98    2791.598                   1.086006                13963.11  
    es10       30          .   16084.19    1847.161                   1.168122                15282.74  
    es10       50          .   18576.24    1722.536                   1.193137                15642.81  
    es10       65          .    14604.6    1635.505                   .9565576                12482.67  
    es13        1          .   13805.66    2907.478                   1.044933                14468.88  
    es13       30          .   16112.62    1953.408                   1.127207                15914.97  
    es13       50          .   19758.36    1758.915                   1.194607                16946.69  
    es13       65          .   18018.47    1740.822                   1.041732                14723.96  
    es80        1     493518   370886.2    86052.74                   1.273028                       .  
    es80       30   479919.6   345441.3    84279.93                   1.244716                       .  
    es80       50     493258   374149.6    87835.41                   1.238212                       .  
    es80       65   369508.4   286588.1    83501.03                   .9577981                       .  
    es85        1   684690.5   618149.9    68597.66                   1.184311                       .  
    es85       30   709312.4   588433.2    58502.43                   1.229029                       .  
    es85       50     705873   631421.8    57138.39                   1.207788                       .  
    es85       65   568153.1   555763.6    61920.55                    1.02237                       .  
    es90        1    1175385   997091.7    155485.7                   1.130801                       .  
    es90       30    1122713    1011489    126940.7                   1.218126                       .  
    es90       50    1159235    1144959    122515.6                   1.248766                       .  
    es90       65   788078.5   946524.5    126917.2                    1.01048                       .  
    es95        1          .    1452117    236344.8                   1.124454                       .  
    es95       30          .    1639126    124723.3                    1.20407                       .  
    es95       50          .    1721172    50005.75                   1.224276                       .  
    es95       65          .    1364119    25973.05                   1.082463                       .  
    fi00        1          .   85864.65    561.6288                   .9976869                83586.39  
    fi00       30          .   112015.5    741.5884                   1.146825                95340.97  
    fi00       50          .   123807.3    1129.159                   1.206982                97653.55  
    fi00       65          .   82296.75    1553.084                   .9636987                72946.47  
    fi04        1          .   18118.57    82.38115                   1.004067                16777.23  
    fi04       30          .      22276    150.9999                    1.14647                18717.89  
    fi04       50          .   25435.89    223.8291                   1.221114                19455.33  
    fi04       65          .   16375.56    313.5446                   .9646187                 14319.7  
    fi07        1          .   19127.89    203.9304                   .9834707                18774.04  
    fi07       30          .   25554.81     263.401                   1.149357                21797.98  
    fi07       50          .    29310.2    287.3281                   1.228702                23270.08  
    fi07       65          .   18570.08    309.0978                   .9557572                17613.46  
    fi10        1          .   20516.47    240.8255                   .9828687                19159.03  
    fi10       30          .   28113.55     291.231                    1.15911                22555.87  
    fi10       50          .   30450.97    340.5646                   1.205609                23259.34  
    fi10       65          .   21026.59    341.6171                   .9878573                 18723.7  
    fi13        1          .   21798.86    324.8271                   .9726981                 20524.7  
    fi13       30          .   30014.46    344.8347                    1.15472                24572.87  
    fi13       50          .   32927.83    388.4279                   1.212766                25674.57  
    fi13       65          .   24127.84    386.0854                   1.016042                21201.38  
    fi87        1          .   56408.23    94.74374                   1.012768                       .  
    fi87       30          .   68426.34    187.1217                   1.131478                       .  
    fi87       50          .   70539.55    306.4594                   1.144205                       .  
    fi87       65          .   49246.85     320.088                   .9366083                       .  
    fi91        1          .   78276.51    12684.47                   1.058867                       .  
    fi91       30          .    93653.3    9609.707                   1.165881                       .  
    fi91       50          .   96145.03    5619.412                   1.126417                       .  
    fi91       65          .   69478.55    4715.566                   .8257676                       .  
    fi95        1          .   69905.88    384.3694                   .9869255                64988.59  
    fi95       30          .   91309.92    500.8879                   1.140589                74652.97  
    fi95       50          .   97796.14     888.613                    1.18196                74398.58  
    fi95       65          .    71498.7    1150.669                   .9911789                59139.68  
    fr00        1   106980.6   88845.58     21782.4                   1.289884                90303.76  
    fr00       30   102419.5   112164.4    11154.74                   1.248332                92741.04  
    fr00       50   102995.4   131999.6    3644.768                    1.29042                100115.5  
    fr00       65   68323.57   106120.5   -2465.745                   .9927369                79858.48  
    fr05        1   17045.28   15229.95    4233.186                   1.060989                14280.86  
    fr05       30   16120.95   18780.31    2645.371                   1.133447                15774.32  
    fr05       50   17126.85   22275.03    2756.984                   1.236993                17251.29  
    fr05       65   12121.24   19948.25      2808.5                   1.049111                14501.22  
    fr10        1   16614.69   19452.56    3389.464                   .9734389                15905.89  
    fr10       30   18137.17   24243.61    2393.129                   1.156972                19541.34  
    fr10       50   19539.65   27248.34     2517.17                    1.23344                20846.17  
    fr10       65   16265.98   22699.11    2787.102                   1.011523                16814.26  
    fr78        1   36893.25   36182.06    5515.716                   1.132953                27697.92  
    fr78       30   39665.24   39233.82    4982.524                    1.16949                28754.24  
    fr78       50   39126.37   40086.13    5051.011                   1.176121                28908.04  
    fr78       65   27818.29   31186.11    4536.379                   1.010742                24798.31  
    fr84        1   73341.55   67989.79    21444.49                   1.208226                57150.01  
    fr84       30   84513.61   73347.99     23416.5                   1.298762                61396.77  
    fr84       50   83842.91   71932.16    19917.92                   1.158788                54874.89  
    fr84       65   61099.93    57065.8    16420.53                   .8643392                40778.52  
    fr89        1   90000.93   74773.28    26140.43                   1.152751                67435.43  
    fr89       30   103679.4   84723.46    30008.31                   1.274911                74469.54  
    fr89       50   111232.6   87892.86    26968.26                   1.185871                69365.09  
    fr89       65   80064.12   74085.31    21193.82                   .8779734                51229.76  
    fr94        1   101670.9   82577.34    26509.12                   1.090271                79923.19  
    fr94       30   120889.2   107336.4    29674.22                   1.259812                92326.65  
    fr94       50     126383   117178.9    25348.96                   1.173215                84882.99  
    fr94       65   100525.2    98863.8    18602.21                   .9058716                62389.11  
    ge10        1   3931.638   4696.185    455.0399                   1.499944                       .  
    ge10       30   3038.939   3193.691    346.1478                   1.231268                       .  
    ge10       50   2838.643   3331.412    313.0862                   1.239215                       .  
    ge10       65   2708.283   2892.713     292.947                   1.150868                       .  
    ge13        1    5541.33   6846.838    723.4645                    1.49667                       .  
    ge13       30   4181.612   4870.288    547.2039                   1.241044                       .  
    ge13       50   3680.972   4166.784     396.749                   1.129554                       .  
    ge13       65   3559.763   4478.631    396.0509                   1.148699                       .  
    gr00        1          .    2749928           .                   1.066197                       .  
    gr00       30          .    3369465           .                   1.201929                       .  
    gr00       50          .    3489609           .                   1.219799                       .  
    gr00       65          .    2377015           .                   .9955342                       .  
    gr04        1          .   11841.52    3820.639                   1.089329                11147.18  
    gr04       30          .   13114.54    3055.637                   1.209636                12536.69  
    gr04       50          .   14793.72    2829.297                   1.239318                12884.53  
    gr04       65          .   10833.49    2408.235                   .9293171                9623.362  
    gr07        1          .   11130.04    5443.586                   1.068228                12883.49  
    gr07       30          .   14746.33    3402.833                   1.183362                14632.64  
    gr07       50          .   17036.85     3245.43                   1.219885                15120.27  
    gr07       65          .   13346.41    2728.521                   .9542737                11802.03  
    gr10        1          .   9201.532    4316.767                    .914805                11353.23  
    gr10       30          .   13753.42    3400.656                   1.141667                14496.09  
    gr10       50          .   16693.41    3275.525                   1.209481                15411.05  
    gr10       65          .   14562.77    2975.539                   .9985408                12678.57  
    gr13        1          .   8573.205    3883.552                   1.022825                 10034.6  
    gr13       30          .   9933.368    3160.996                   1.138328                11351.93  
    gr13       50          .   11701.92    3041.218                   1.203382                12048.33  
    gr13       65          .   10309.62    2842.922                   1.006681                10031.56  
    gr95        1          .    2055635           .                   1.087466                       .  
    gr95       30          .    2383082           .                   1.196671                       .  
    gr95       50          .    2390605           .                   1.202698                       .  
    gr95       65          .    1739353           .                   1.012821                       .  
    gt06        1   15178.91   16507.81    1902.208                   1.210514                       .  
    gt06       30   16449.94   20662.94    1825.228                   1.349668                       .  
    gt06       50   19044.93   25099.05    2094.925                   1.524396                       .  
    gt06       65    16533.3   23418.88    2029.743                   1.332696                       .  
    gt11        1          .   16075.49    682.7211                   1.217201                       .  
    gt11       30          .   22653.39    505.1546                   1.338803                       .  
    gt11       50          .   26356.81    460.4063                   1.482583                       .  
    gt11       65          .   21195.22    302.3485                   1.297781                       .  
    gt14        1   18153.81   18913.81    2514.167                   1.132418                       .  
    gt14       30   19955.38   22655.63    2442.022                   1.216477                       .  
    gt14       50    21088.1   28533.51    2613.131                   1.357936                       .  
    gt14       65   18504.31   24344.61    2569.079                   1.167787                       .  
    hu05        1   983488.2    1245860      142387                   1.110954                 1129162  
    hu05       30    1033970    1238445    136801.7                   1.131471                 1174694  
    hu05       50    1161136    1419020      157456                   1.214245                 1273280  
    hu05       65   932332.6    1011269    160598.3                   1.023916                 1084415  
    hu07        1    1106730    1315003      161547                   1.082872                 1298622  
    hu07       30    1153912    1426614    168522.9                   1.137798                 1390492  
    hu07       50    1117435    1508821      192281                   1.176726                 1431998  
    hu07       65   993582.1    1155978    179585.1                   1.017185                 1263988  
    hu09        1    1345754    1358895    283399.4                   1.092058                 1591566  
