ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
ch04,36143.625,32731.622,7805.1947,7805.196,.,29072.99,.,29072.99,.3156593,.13596308,.14076643,.13596308,.,.3351724,.,.18431132,.,.18431132,.,.32992229,.,.33715284,.,.4064886,.29909003,.27128743,.27365881,.32992229,.,.3156593
ch07,.,36869.213,12111.385,17391.66,.,.,.,31663.985,.34769057,.,.,.,.,.,.,.20133795,.,.20133795,.,.36346267,.,.,.,.42040555,.32726202,.31387456,.31972136,.36346267,.,.
ch10,.,38218.403,9578.575,11611.358,.,.,.,32854.693,.32855887,.,.,.,.,.,.,.18958365,.,.18958365,.,.34403514,.,.,.,.42621413,.32397553,.30478934,.30736382,.34403514,.,.
ch13,.,39296.48,9429.0967,12076.117,.,.,.,32840.786,.32776795,.,.,.,.,.,.,.18858974,.,.18858974,.,.3427612,.,.,.,.43692266,.33255289,.3070347,.30406774,.3427612,.,.
tw81,85291.507,56968.707,14443.857,21868.007,.,.,.,.,.29967714,.16762385,.15852708,.,.,.,.,.17181768,.,.,.,.,.,.,.,.28098598,.28074466,.27993643,.27555378,.,.,.29967714
tw86,114588.27,79590.392,18475.596,28305.66,.,.,.,.,.29711787,.16043436,.15939125,.,.,.,.,.16906093,.,.,.,.,.,.,.,.29179592,.2913967,.29007375,.2844379,.,.,.29711787
tw91,191367.19,152282.7,36514.818,51952.834,.,.,.,.,.29970238,.16416928,.16069144,.,.,.,.,.17091489,.,.,.,.,.,.,.,.29710224,.29530605,.29191369,.28660472,.,.,.29970238
tw95,.,214184.72,.,74783.647,.,.,.,.,.30575947,.,.,.,.,.,.,.17741287,.,.,.,.,.,.,.,.3142751,.30965807,.3049303,.3013961,.,.,.
tw97,.,226098.58,.,81816.521,.,.,.,.,.3082329,.,.,.,.,.,.,.1775527,.,.,.,.,.,.,.,.31812821,.31030625,.30554095,.30438776,.,.,.
tw00,.,247128.41,.,88376.833,.,.,.,.,.31112538,.,.,.,.,.,.,.17887489,.,.,.,.,.,.,.,.32917329,.31908527,.31270602,.31045793,.,.,.
tw05,.,254860.75,.,88708.494,.,.,.,.,.32181078,.,.,.,.,.,.,.18479453,.,.,.,.,.,.,.,.35452283,.34447818,.3362061,.33379415,.,.,.
tw07,308503.6,247692.7,25011.941,91904.928,.,.,.,.,.32126498,.15662767,.1608654,.,.,.,.,.18546114,.,.,.,.,.,.,.,.36085861,.34316165,.33190726,.33699763,.,.,.32126498
tw10,308644.55,238640.87,26459.26,95649.596,.,.,.,.,.33214856,.1593237,.16308024,.,.,.,.,.19272609,.,.,.,.,.,.,.,.36530775,.34913538,.33859589,.35225176,.,.,.33214856
tw13,332333.05,252524.99,28220.242,101149.38,.,.,.,.,.32486608,.15601616,.15947719,.,.,.,.,.18726222,.,.,.,.,.,.,.,.37397775,.35551437,.33914321,.34745506,.,.,.32486608
uk69,.,385.21397,.,.,.,.,.,.,.33650324,.,.,.,.,.,.,.19373791,.,.,.,.,.,.,.,.36772315,.32444225,.29066821,.2673604,.,.,.
uk74,.,846.35824,.,.,.,.,.,.,.299731,.,.,.,.,.,.,.1725913,.,.,.,.,.,.,.,.38028904,.32122772,.28759736,.26719975,.,.,.
uk79,.,1840.4865,.,.,.,.,.,.,.28424045,.,.,.,.,.,.,.16618273,.,.,.,.,.,.,.,.41679204,.34505327,.2714833,.25073093,.,.,.
uk86,5525.2501,3475.8726,524.81436,943.10342,.,.,.,.,.31848966,.16263819,.16099255,.,.,.,.,.18833926,.,.,.,.,.,.,.,.50377649,.41654393,.31701811,.29474143,.,.,.31848966
uk91,8912.9496,5638.8392,1628.5386,2455.954,.,.,.,.,.35930681,.22197165,.22224479,.,.,.,.,.20952837,.,.,.,.,.,.,.,.51068824,.43059587,.34905387,.32825384,.,.,.35930681
uk94,.,6551.0015,1487.446,1487.4516,.,.,.,.,.36109348,.,.,.,.,.,.,.20812668,.,.,.,.,.,.,.,.54564554,.44769102,.35138577,.33458011,.,.,.
uk95,10171.379,6465.3443,1946.6991,1946.756,5585.6798,5921.1911,5585.6796,5921.1909,.36273226,.19675165,.21848999,.19675165,.21848999,.39419616,.3898013,.21457602,.22116335,.21457602,.22116335,.39081731,.38929961,.39796188,.39528559,.5456227,.45537025,.36158185,.34075809,.39081731,.38932036,.36273226
uk99,.,8271.105,763.53561,763.54384,.,.,7620.4978,8041.104,.36951757,.,.,.,.,.,.,.21336287,.22965971,.21336287,.22965971,.4004468,.3969809,.,.,.54632071,.4559435,.35900519,.34063636,.4004468,.39712841,.
uk04,.,10687.845,908.72259,908.74055,.,.,10136.682,10650.027,.37101365,.,.,.,.,.,.,.21154706,.22425099,.21154706,.22425099,.40119569,.39855157,.,.,.5466058,.45108362,.35684018,.34340011,.40119569,.39868643,.
uk07,.,12399.447,675.49198,3957.086,.,.,11848.732,12519.017,.35972551,.,.,.,.,.,.,.2089433,.22135099,.2089433,.22135099,.38686489,.38439138,.,.,.53902149,.45334198,.3781835,.345508,.3868649,.38465834,.
uk10,.,13043.466,918.84108,4250.1895,.,.,11511.294,12309.136,.3522434,.,.,.,.,.,.,.20325445,.21810245,.20325445,.21810244,.37742883,.37461867,.,.,.55988605,.4639387,.37696077,.34067542,.37742883,.37492629,.
uk13,.,13998.082,1078.8037,4192.9129,.,.,12684.385,13670.956,.34962367,.,.,.,.,.,.,.20215108,.21732268,.20215107,.21732268,.37735983,.37413573,.,.,.55305609,.45471461,.3690312,.3350884,.37735983,.37454754,.
