   ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch02              81    40164.7   69558.44    8417.602                   1.302472                       .  
    ch02              82   46881.56   70933.51    8922.645                   1.325039                       .  
    ch02              83   45379.01   72256.77    8097.126                   1.311366                       .  
    ch02              84    47029.2   73414.09    9341.889                   1.393384                       .  
    ch02              85   40275.43   74926.01    6082.576                   1.170404                       .  
    ch02              86   41117.68   76116.76    7631.905                   1.249293                       .  
    ch02              87    44486.7   77389.28    7931.578                   1.321176                       .  
    ch02              88   52474.65   78941.67     8518.86                   1.365975                       .  
    ch02              89   49779.07   81098.58    9607.321                   1.395796                       .  
    ch02              90   49060.31   83379.65    8573.008                   1.354299                       .  
    ch02              91   44884.71   85413.05    10301.09                   1.369246                       .  
    ch02              92   47918.44   88262.59    7009.616                   1.307669                       .  
    ch02              93   54058.13   90894.63    8214.327                   1.456514                       .  
    ch02              94   51592.73   93452.02    8003.078                   1.488449                       .  
    ch02              95   57730.13   96799.27    8134.298                   1.459779                       .  
    ch02              96   51548.07   100510.5     11439.4                   1.631039                       .  
    ch02              97   50830.62   104759.9    8623.016                   1.591754                       .  
    ch02              98   60458.06   114106.5    13365.41                   1.877286                       .  
    ch02              99   52887.56   131969.6    10017.64                    1.78004                       .  
    ch02             100   70454.09   229651.1    9672.205                   2.201466                       .  
    ch04               1   28443.68   5784.436    6276.615                   .6746723                       .  
    ch04               2   23289.64   12584.41    7651.591                   .7702393                       .  
    ch04               3   21443.94   16115.95    4952.283                   .6453483                       .  
    ch04               4   24895.07   17872.99    7219.516                    .730853                       .  
    ch04               5   22468.02   19445.49    6110.704                   .7308635                       .  
    ch04               6   24262.57   20877.02    7151.923                   .8245745                       .  
    ch04               7    24449.2   21826.87     7600.31                   .8276408                       .  
    ch04               8   23203.94   22723.22    7253.707                   .8021751                       .  
    ch04               9   24334.06   23628.08    5433.872                   .6917638                       .  
