ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
rs10,289747.67,326502.65,46148.387,118430.61,.,.,.,.,.32077973,.16495366,.17285202,.,.,.,.,.1853449,.,.,.,.,.,.,.,.,.,.32077973
rs13,371394.41,396798.64,58899.223,142648.5,.,.,.,.,.33406428,.15299208,.15733888,.,.,.,.,.18034247,.,.,.,.,.,.,.,.,.,.33406428
sk92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
sk96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
sk04,.,144165.66,32505.833,32505.833,.,.,.,.,.27978771,.,.,.,.,.,.,.13608189,.,.,.,.,.,.,.,.,.,.
sk07,.,214184.67,29966.588,50314,.,.,.,.,.24737561,.,.,.,.,.,.,.12636899,.,.,.,.,.,.,.,.,.,.
sk10,.,8384.9547,1305.963,2206.5942,.,.,.,.,.26427417,.,.,.,.,.,.,.1354018,.,.,.,.,.,.,.,.,.,.
sk13,.,9004.1619,1344.6426,2172.8376,.,.,.,.,.26903238,.,.,.,.,.,.,.1359693,.,.,.,.,.,.,.,.,.,.
si97,1443467.3,1352081.7,134237.5,134237.5,1218078.2,1224734.4,1218078.2,1224734.5,.22932468,.15517584,.16542687,.15517584,.16542687,.25016502,.24735536,.12094674,.12130604,.12094674,.12130604,.25978547,.25980537,.26401468,.26339447,.26153542,.26153835,.22932468
si99,1517749.7,1561320.8,154650.46,154650.46,1444997.1,1452721.7,1444997.2,1452721.7,.2319706,.15034457,.16079563,.15034457,.16079563,.25704145,.25381537,.12371468,.12406474,.12371468,.12406474,.26522064,.26508868,.27071387,.2699448,.26712698,.26695744,.2319706
si04,2217673.2,2426517.9,252591.43,252591.43,2201347.3,2215896.6,2201347.2,2215896.7,.23109543,.16032664,.17525245,.16032664,.17525245,.25124911,.24698504,.12364672,.12417175,.12364672,.12417175,.26169489,.26151958,.26356619,.2618931,.26319937,.26299229,.23109543
si07,10302.079,12017.573,1229.3633,3406.2178,10641.338,10714.475,10641.337,10714.475,.22847907,.15654073,.17325086,.15654073,.17325086,.24879914,.244067,.12944789,.13010926,.12944789,.13010926,.25645193,.25624353,.25957719,.25734787,.25744175,.2572234,.22847907
si10,11508.405,13765.358,1484.0896,4266.0307,12608.964,12711.191,12608.963,12711.192,.25149046,.15723484,.17488171,.15723484,.17488171,.27822936,.27320331,.13447252,.13525435,.13447252,.13525436,.28468669,.2844347,.2877795,.28511147,.28548584,.28522261,.25149046
si12,11359.589,14571.808,1824.7351,3530.2731,13667.759,13771.373,13667.758,13771.373,.27108294,.12230821,.14726887,.12230821,.14726887,.31502448,.30762442,.12608846,.12710589,.12608846,.12710589,.31390796,.31357515,.32370912,.3189945,.31461241,.31425134,.27108294
za08,27406.792,32432.061,3083.9891,8434.9878,.,34519.842,.,34519.841,.65710992,.55785773,.53437461,.55785772,.,.67812433,.,.4743048,.,.4743048,.,.69581477,.,.69185513,.,.69697182,.,.65710992
za10,22944.802,37936.244,2979.7612,8651.0907,.,38624.486,.,38624.484,.67411852,.52588872,.52851864,.52588872,.,.70432134,.,.44351329,.,.44351329,.,.72110589,.,.72054433,.,.72286802,.,.67411852
za12,25918.932,40837.412,3805.8719,9943.6199,.,41794.571,.,41794.571,.60745443,.49919642,.49878096,.49919642,.,.63115049,.,.42320063,.,.42320063,.,.64778483,.,.64195922,.,.64919761,.,.60745443
kr06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
kr12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es80,473740.5,353159.95,87895.247,87895.247,.,.,.,.,.3178262,.19711395,.19853683,.,.,.,.,.19805148,.,.,.,.,.,.,.,.,.,.3178262
es85,688489.93,599561.33,58986.702,147812.96,.,.,.,.,.31497938,.21037867,.21055016,.,.,.,.,.19566102,.,.,.,.,.,.,.,.,.,.31497938
es90,1075627.7,1041423.7,129243.18,316472.47,.,.,.,.,.30257088,.17978352,.17934121,.,.,.,.,.18424296,.,.,.,.,.,.,.,.,.,.30257088
es95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
es04,.,14405.472,1396.2414,4844.1753,.,.,13156.776,13388.848,.30732174,.,.,.,.,.,.,.17128839,.17209131,.17128839,.17209131,.3320564,.33186178,.,.,.33251722,.33229804,.
es07,.,16862.665,1486.7431,4595.599,.,.,16203.205,16540.256,.30398592,.,.,.,.,.,.,.14910515,.15130531,.14910515,.15130531,.33306337,.33257112,.,.,.33328436,.33277798,.
es10,.,16375.139,1797.9137,4895.5333,.,.,14702.692,15107.834,.32772442,.,.,.,.,.,.,.15433632,.15784662,.15433632,.15784662,.35464718,.3539898,.,.,.35479269,.35412441,.
es13,.,17556.519,1883.058,4759.5115,.,.,15919.572,16407.41,.34067276,.,.,.,.,.,.,.15851689,.16231202,.15851688,.16231202,.37364159,.37281864,.,.,.37379831,.37295994,.
se67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
se00,.,168684.28,34078.047,34078.049,.,.,152919.84,170350.12,.25553937,.,.,.,.,.,.,.13140206,.1432392,.13140206,.1432392,.29280941,.287967,.,.,.29377935,.28870301,.
se05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ch92,.,41298.166,8811.558,9009.2446,.,.,.,.,.2473241,.,.,.,.,.,.,.13899446,.,.,.,.,.,.,.,.,.,.
ch00,34709.472,49387.208,7625.591,7625.5926,.,43295.678,.,43295.68,.28345101,.15211355,.17560423,.15211355,.,.2973332,.,.13052924,.,.13052924,.,.29961464,.,.30011295,.,.30027046,.,.28345101
ch02,35135.526,52155.586,7595.711,7595.7123,.,45643.178,.,45643.18,.27086507,.15013287,.17193259,.15013287,.,.28346662,.,.13027672,.,.13027672,.,.28553913,.,.28579391,.,.28616514,.,.27086507
ch04,36143.625,50353.638,7805.1947,7805.196,.,44725.273,.,44725.273,.26280677,.13825335,.15919435,.13825335,.,.27633195,.,.12395569,.,.12395569,.,.27788452,.,.2785806,.,.27863678,.,.26280677
ch07,.,58082.12,12120.088,17404.156,.,.,.,49882.038,.31306722,.,.,.,.,.,.,.16864111,.,.16864111,.,.32863171,.,.,.,.32881165,.,.
ch10,.,60226.643,9594.1627,11623.753,.,.,.,51774.219,.29780398,.,.,.,.,.,.,.13947574,.,.13947574,.,.31543539,.,.,.,.31565231,.,.
ch13,.,60948.769,9429.0967,12076.117,.,.,.,50936.003,.29559807,.,.,.,.,.,.,.14014369,.,.14014369,.,.31234472,.,.,.,.31252349,.,.
tw81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tw95,.,440773.97,.,74783.647,.,.,.,.,.2843506,.,.,.,.,.,.,.17301576,.,.,.,.,.,.,.,.,.,.
tw97,.,458840.61,.,81816.521,.,.,.,.,.28737243,.,.,.,.,.,.,.17455863,.,.,.,.,.,.,.,.,.,.
tw00,.,488278.27,.,88376.833,.,.,.,.,.28912088,.,.,.,.,.,.,.17361799,.,.,.,.,.,.,.,.,.,.
tw05,.,490974.11,.,88708.494,.,.,.,.,.30532423,.,.,.,.,.,.,.18202319,.,.,.,.,.,.,.,.,.,.
