    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at10              28          .   18360.19    3234.115                   .9233178                18599.81  
    at10              29          .   18665.38    3390.059                   .8753024                17552.71  
    at10              30          .   18924.05    3251.165                   .8929054                17956.72  
    at10              31          .   19164.78    3364.202                     .92378                18577.47  
    at10              32          .   19406.08    3256.576                   .8991123                18085.78  
    at10              33          .   19660.95     3447.76                   .9436095                18973.46  
    at10              34          .   20051.58    3585.996                   .9327793                18711.88  
    at10              35          .   20364.81    3514.255                   .9059654                18166.27  
    at10              36          .   20648.52     3294.64                   .9563667                19279.17  
    at10              37          .   20952.59    3635.387                   .9530644                19125.86  
    at10              38          .   21130.96    2944.906                   .9541831                19319.46  
    at10              39          .   21379.65    3460.516                   .9638408                19395.32  
    at10              40          .    21593.3    3252.336                   .9714829                19607.15  
    at10              41          .   21830.56     2822.84                   .9665166                19608.63  
    at10              42          .   22065.35    3570.418                   .9870505                19855.82  
    at10              43          .   22298.85    3396.761                   1.007862                20335.81  
    at10              44          .   22570.75    3547.946                    1.03001                20763.83  
    at10              45          .   22840.83    3494.767                   1.005638                20264.94  
    at10              46          .   23077.43    3546.331                   1.032532                20817.21  
    at10              47          .   23371.29    3118.781                   1.021271                20685.98  
    at10              48          .   23611.73    3483.522                   1.038842                20965.24  
    at10              49          .   23943.47    3794.917                   1.059454                21321.54  
    at10              50          .   24292.36    3388.798                    1.07073                21658.46  
    at10              51          .   24616.23     3314.92                   1.025129                20718.69  
    at10              52          .   24979.06    3566.569                   1.072587                21653.68  
    at10              53          .   25291.07    3280.553                   1.106433                22435.16  
    at10              54          .   25542.25    3271.419                   1.103593                22377.74  
    at10              55          .   25818.89    3341.476                   1.080526                 21875.9  
    at10              56          .   26196.69    3705.913                   1.126622                22754.49  
    at10              57          .   26523.13     3227.96                   1.106356                22446.49  
    at10              58          .   26855.56    3543.486                   1.142722                23132.73  
    at10              59          .   27101.02    3479.243                   1.135142                22989.31  
    at10              60          .    27378.3     3663.45                   1.139006                 23025.1  
    at10              61          .   27660.38    3338.888                     1.1814                23995.66  
    at10              62          .   27971.35    3624.586                    1.11975                22630.15  
    at10              63          .   28280.96    3374.052                   1.120229                22701.95  
