"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,153639.64,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,154054.21,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,158463.84,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,166045.18,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,170977.63,,
"AUT","Austria","P31DC","Final consumption expenditure of households on the territory","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,174798.93,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,8433.33,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,8960.85,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,9129.61,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,9499.69,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,9997.6,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,10394.9,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,10754.35,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,11307.64,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,11675.07,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,12416.72,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,13588.45,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,14032.09,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,14612.34,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,15026.1,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,15582.38,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,16037.92,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,16738.02,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,17394.65,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,18226.81,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,111574.8,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,114760.3,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,118561.7,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,123297.3,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,126015.8,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,133801.6,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,137926.7,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,140221.3,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,143113,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,148785.4,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,154616.3,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,161648.3,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,169473.7,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,177798.6,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,176978.8,,
"BEL","Belgium","P31NC","Final consumption expend. of res. households on the territory and abroad","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,184948.4,,
