"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,109351.5,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,115107.7,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,119385.5,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,121502.4,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,125493.7,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,130741.3,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,136879.7,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,142689.7,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,147808.8,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,152259,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,153891.5,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,158041.1,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,165191,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,170060.8,,
"AUT","Austria","NFP3P","Final consumption expenditure","S14_S15","Households and non-profit institutions serving households","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,173500,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,111574.8,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,114760.3,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,118561.7,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,123297.3,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,126015.8,,
