"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","BEL","Belgium","2016","2016","EUR","Euro","9","Billions",,,28.9334,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1965","1965","CAD","Canadian Dollar","9","Billions",,,2.73,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1966","1966","CAD","Canadian Dollar","9","Billions",,,3.083,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1967","1967","CAD","Canadian Dollar","9","Billions",,,3.406,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1968","1968","CAD","Canadian Dollar","9","Billions",,,3.493,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1969","1969","CAD","Canadian Dollar","9","Billions",,,3.969,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1970","1970","CAD","Canadian Dollar","9","Billions",,,4.068,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1971","1971","CAD","Canadian Dollar","9","Billions",,,4.662,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1972","1972","CAD","Canadian Dollar","9","Billions",,,5.376,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1973","1973","CAD","Canadian Dollar","9","Billions",,,6.592,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1974","1974","CAD","Canadian Dollar","9","Billions",,,7.466,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1975","1975","CAD","Canadian Dollar","9","Billions",,,7.178,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1976","1976","CAD","Canadian Dollar","9","Billions",,,8.366,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1977","1977","CAD","Canadian Dollar","9","Billions",,,9.24,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1978","1978","CAD","Canadian Dollar","9","Billions",,,9.109,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1979","1979","CAD","Canadian Dollar","9","Billions",,,10.341,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","CAN","Canada","1980","1980","CAD","Canadian Dollar","9","Billions",,,11.658,,
