"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,47910,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,51000,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,54430,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,58969,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,63955,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,69625,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,76058,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,82791,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,90416,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,99778,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,106831,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,113690,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,121097,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,127532,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,132376,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,137953,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,142216,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,147363,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,1037,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,1173,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,1293,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,1417,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,1546,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,1669,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,1814,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,2002,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,2209,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,2460,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,2754,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,3145,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,3575,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,4040,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,4675,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,5759,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,7108,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,8580,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,10051,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,11622,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,13320,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,15386,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,17878,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,20591,,
